date,population,population_over18,pc_over18
2000-04-01,281424600,209129570,74.31104814575556
2000-05-01,281643089,,
2000-06-01,281887481,,
2000-07-01,282162411,209786222,74.34945755407513
2000-08-01,282422213,,
2000-09-01,282693284,,
2000-10-01,282957962,,
2000-11-01,283197152,,
2000-12-01,283437649,,
2001-01-01,283647024,,
2001-02-01,283841797,,
2001-03-01,284047071,,
2001-04-01,284269299,,
2001-05-01,284487152,,
2001-06-01,284728443,,
2001-07-01,284968955,212297780,74.49856423833958
2001-08-01,285224368,,
2001-09-01,285493771,,
2001-10-01,285689399,,
2001-11-01,285921072,,
2001-12-01,286138973,,
2002-01-01,286340637,,
2002-02-01,286542998,,
2002-03-01,286723459,,
2002-04-01,286929463,,
2002-05-01,287151632,,
2002-06-01,287393588,,
2002-07-01,287625193,214688736,74.64183987527129
2002-08-01,287870555,,
2002-09-01,288129987,,
2002-10-01,288379244,,
2002-11-01,288610754,,
2002-12-01,288804655,,
2003-01-01,288998781,,
2003-02-01,289132739,,
2003-03-01,289258694,,
2003-04-01,289400188,,
2003-05-01,289554820,,
2003-06-01,289819527,,
2003-07-01,290107933,217007175,74.80222024814468
2003-08-01,290391551,,
2003-09-01,290656476,,
2003-10-01,290916101,,
2003-11-01,291160038,,
2003-12-01,291364214,,
2004-01-01,291553190,,
2004-02-01,291716878,,
2004-03-01,291888226,,
2004-04-01,292108553,,
2004-05-01,292350184,,
2004-06-01,292571704,,
2004-07-01,292805298,219507563,74.96707351244717
2004-08-01,293057495,,
2004-09-01,293309033,,
2004-10-01,293573356,,
2004-11-01,293801454,,
2004-12-01,294015263,,
2005-01-01,294230649,,
2005-02-01,294380349,,
2005-03-01,294558690,,
2005-04-01,294784353,,
2005-05-01,295030999,,
2005-06-01,295262724,,
2005-07-01,295516599,221992930,75.12029129707194
2005-08-01,295771752,,
2005-09-01,296040189,,
2005-10-01,296306871,,
2005-11-01,296514546,,
2005-12-01,296762293,,
2006-01-01,296987570,,
2006-02-01,297219147,,
2006-03-01,297423035,,
2006-04-01,297649663,,
2006-05-01,297869406,,
2006-06-01,298118142,,
2006-07-01,298379912,224622198,75.2806033403482
2006-08-01,298630579,,
2006-09-01,298908360,,
2006-10-01,299159981,,
2006-11-01,299395746,,
2006-12-01,299658194,,
2007-01-01,299890446,,
2007-02-01,300095558,,
2007-03-01,300288381,,
2007-04-01,300511531,,
2007-05-01,300728176,,
2007-06-01,300968228,,
2007-07-01,301231207,227211802,75.42771025048543
2007-08-01,301500377,,
2007-09-01,301772224,,
2007-10-01,302026271,,
2007-11-01,302287110,,
2007-12-01,302533358,,
2008-01-01,302754346,,
2008-02-01,302966260,,
2008-03-01,303185074,,
2008-04-01,303381938,,
2008-05-01,303616954,,
2008-06-01,303847001,,
2008-07-01,304093966,229989364,75.63101860429549
2008-08-01,304357665,,
2008-09-01,304614210,,
2008-10-01,304858602,,
2008-11-01,305093832,,
2008-12-01,305298802,,
2009-01-01,305519874,,
2009-02-01,305714782,,
2009-03-01,305920351,,
2009-04-01,306112520,,
2009-05-01,306321829,,
2009-06-01,306541114,,
2009-07-01,306771529,232637362,75.83407846169453
2009-08-01,307007040,,
2009-09-01,307267930,,
2009-10-01,307518237,,
2009-11-01,307757459,,
2009-12-01,307954399,,
2010-01-01,308169976,,
2010-02-01,308375613,,
2010-03-01,308565817,,
2010-04-01,308758105,234575826,75.9739816384739
2010-05-01,308952010,234790168,75.99567583327908
2010-06-01,309140633,235000292,76.01727722411697
2010-07-01,309348193,235224861,76.03886698636704
2010-08-01,309569137,235468671,76.06335479108178
2010-09-01,309803353,235721976,76.08761290585515
2010-10-01,310036087,235974511,76.11194983247225
2010-11-01,310227607,236180593,76.13139116919405
2010-12-01,310408477,236378409,76.15075827971025
2011-01-01,310605432,236587978,76.16994219212496
2011-02-01,310766662,236767377,76.18815206117573
2011-03-01,310911977,236936330,76.20688411112577
2011-04-01,311095656,237133478,76.22526172464458
2011-05-01,311276627,237332008,76.2447249211551
2011-06-01,311451017,237525136,76.26404250913073
2011-07-01,311663358,237747169,76.28332394467752
2011-08-01,311876057,237978963,76.30562130647945
2011-09-01,312114163,238229785,76.32777145073035
2011-10-01,312329544,238463823,76.35006920766996
2011-11-01,312524042,238673682,76.36970278273823
2011-12-01,312720275,238884909,76.38932557219067
2012-01-01,312923696,239101068,76.40874470561027
2012-02-01,313074972,239275532,76.42755039518137
2012-03-01,313259543,239476427,76.44665018233778
